"ID","GAME_DATE","GAME_TIME","STADIUM","REMARKS","BOARDSE","AWAY_TEAM","AWAY_TEAM_SCORE","HOME_TEAM","HOME_TEAM_SCORE","VICTORY_TEAM","YEAR","MONTH","RECORD_TYPE","HIGHLIGHT_URL","HIGHLIGHT_THUMB"
1,14/03/20,"13:00","한밭","기타","","SK",,"한화",,"",2020,3,"경기일정","",""
2,14/03/20,"13:00","대구","기타","","두산",,"삼성",,"",2020,3,"경기일정","",""
3,14/03/20,"13:00","창원","기타","","LG",,"NC",,"",2020,3,"경기일정","",""
4,14/03/20,"13:00","광주","기타","","롯데",,"KIA",,"",2020,3,"경기일정","",""
5,14/03/20,"13:00","고척","기타","","KT",,"키움",,"",2020,3,"경기일정","",""
6,15/03/20,"13:00","한밭","기타","","SK",,"한화",,"",2020,3,"경기일정","",""
7,15/03/20,"13:00","대구","기타","","두산",,"삼성",,"",2020,3,"경기일정","",""
8,15/03/20,"13:00","창원","기타","","LG",,"NC",,"",2020,3,"경기일정","",""
9,15/03/20,"13:00","광주","기타","","롯데",,"KIA",,"",2020,3,"경기일정","",""
10,15/03/20,"13:00","고척","기타","","KT",,"키움",,"",2020,3,"경기일정","",""
11,16/03/20,"13:00","한밭","기타","","롯데",,"한화",,"",2020,3,"경기일정","",""
12,16/03/20,"13:00","대구","기타","","KT",,"삼성",,"",2020,3,"경기일정","",""
13,16/03/20,"13:00","창원","기타","","두산",,"NC",,"",2020,3,"경기일정","",""
14,16/03/20,"13:00","광주","기타","","LG",,"KIA",,"",2020,3,"경기일정","",""
15,16/03/20,"13:00","고척","기타","","SK",,"키움",,"",2020,3,"경기일정","",""
16,17/03/20,"13:00","한밭","기타","","롯데",,"한화",,"",2020,3,"경기일정","",""
17,17/03/20,"13:00","대구","기타","","KT",,"삼성",,"",2020,3,"경기일정","",""
18,17/03/20,"13:00","창원","기타","","두산",,"NC",,"",2020,3,"경기일정","",""
19,17/03/20,"13:00","광주","기타","","LG",,"KIA",,"",2020,3,"경기일정","",""
20,17/03/20,"13:00","고척","기타","","SK",,"키움",,"",2020,3,"경기일정","",""
21,19/03/20,"13:00","한밭","기타","","NC",,"한화",,"",2020,3,"경기일정","",""
22,19/03/20,"13:00","잠실","기타","","롯데",,"LG",,"",2020,3,"경기일정","",""
23,19/03/20,"13:00","문학","기타","","삼성",,"SK",,"",2020,3,"경기일정","",""
24,19/03/20,"13:00","수원","기타","","KIA",,"KT",,"",2020,3,"경기일정","",""
25,19/03/20,"13:00","고척","기타","","두산",,"키움",,"",2020,3,"경기일정","",""
26,20/03/20,"13:00","한밭","기타","","NC",,"한화",,"",2020,3,"경기일정","",""
27,20/03/20,"13:00","잠실","기타","","롯데",,"LG",,"",2020,3,"경기일정","",""
28,20/03/20,"13:00","문학","기타","","삼성",,"SK",,"",2020,3,"경기일정","",""
29,20/03/20,"13:00","수원","기타","","KIA",,"KT",,"",2020,3,"경기일정","",""
30,20/03/20,"13:00","고척","기타","","두산",,"키움",,"",2020,3,"경기일정","",""
31,21/03/20,"13:00","잠실","기타","","두산",,"LG",,"",2020,3,"경기일정","",""
32,21/03/20,"13:00","문학","기타","","KIA",,"SK",,"",2020,3,"경기일정","",""
33,21/03/20,"13:00","대구","기타","","NC",,"삼성",,"",2020,3,"경기일정","",""
34,21/03/20,"13:00","수원","기타","","한화",,"KT",,"",2020,3,"경기일정","",""
35,21/03/20,"13:00","고척","기타","","롯데",,"키움",,"",2020,3,"경기일정","",""
36,22/03/20,"13:00","잠실","기타","","LG",,"두산",,"",2020,3,"경기일정","",""
37,22/03/20,"13:00","문학","기타","","KIA",,"SK",,"",2020,3,"경기일정","",""
38,22/03/20,"13:00","대구","기타","","NC",,"삼성",,"",2020,3,"경기일정","",""
39,22/03/20,"13:00","수원","기타","","한화",,"KT",,"",2020,3,"경기일정","",""
40,22/03/20,"13:00","고척","기타","","롯데",,"키움",,"",2020,3,"경기일정","",""
41,23/03/20,"13:00","잠실","기타","","한화",,"두산",,"",2020,3,"경기일정","",""
42,23/03/20,"13:00","문학","기타","","LG",,"SK",,"",2020,3,"경기일정","",""
43,23/03/20,"13:00","창원","기타","","키움",,"NC",,"",2020,3,"경기일정","",""
44,23/03/20,"13:00","수원","기타","","롯데",,"KT",,"",2020,3,"경기일정","",""
45,23/03/20,"13:00","광주","기타","","삼성",,"KIA",,"",2020,3,"경기일정","",""
46,24/03/20,"13:00","잠실","기타","","한화",,"두산",,"",2020,3,"경기일정","",""
47,24/03/20,"13:00","문학","기타","","LG",,"SK",,"",2020,3,"경기일정","",""
48,24/03/20,"13:00","창원","기타","","키움",,"NC",,"",2020,3,"경기일정","",""
49,24/03/20,"13:00","수원","기타","","롯데",,"KT",,"",2020,3,"경기일정","",""
50,24/03/20,"13:00","광주","기타","","삼성",,"KIA",,"",2020,3,"경기일정","",""
51,20/03/21,"13:00","한밭","우천취소","","LG",,"한화",,"",2021,3,"경기일정","",""
52,20/03/21,"13:00","잠실","우천취소","","KT",,"두산",,"",2021,3,"경기일정","",""
53,20/03/21,"13:00","사직","우천취소","","키움",,"롯데",,"",2021,3,"경기일정","",""
54,20/03/21,"13:00","대구","우천취소","","KIA",,"삼성",,"",2021,3,"경기일정","",""
55,20/03/21,"13:00","창원","우천취소","","SSG",,"NC",,"",2021,3,"경기일정","",""
56,21/03/21,"13:00","한밭","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20210321&gameId=20210321LGHH0&section=HIGHLIGHT","LG",2,"한화",3,"한화",2021,3,"경기일정","https://tv.naver.com/embed/19104051?autoPlay=true",""
58,21/03/21,"13:00","사직","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20210321&gameId=20210321WOLT0&section=HIGHLIGHT","키움",1,"롯데",6,"롯데",2021,3,"경기일정","https://tv.naver.com/embed/19103842?autoPlay=true",""
59,21/03/21,"13:00","대구","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20210321&gameId=20210321HTSS0&section=HIGHLIGHT","KIA",7,"삼성",10,"삼성",2021,3,"경기일정","https://tv.naver.com/embed/19104240?autoPlay=true",""
60,21/03/21,"13:00","창원","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20210321&gameId=20210321SKNC0&section=HIGHLIGHT","SSG",3,"NC",11,"NC",2021,3,"경기일정","https://tv.naver.com/embed/19104026?autoPlay=true",""
61,22/03/21,"13:00","잠실","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20210322&gameId=20210322HHOB0&section=HIGHLIGHT","한화",12,"두산",5,"한화",2021,3,"경기일정","https://tv.naver.com/embed/19123023?autoPlay=true",""
63,22/03/21,"13:00","창원","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20210322&gameId=20210322HTNC0&section=HIGHLIGHT","KIA",7,"NC",0,"KIA",2021,3,"경기일정","https://tv.naver.com/embed/19121571?autoPlay=true",""
64,22/03/21,"13:00","수원","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20210322&gameId=20210322LGKT0&section=HIGHLIGHT","LG",3,"KT",9,"KT",2021,3,"경기일정","https://tv.naver.com/embed/19121230?autoPlay=true",""
66,23/03/21,"13:00","잠실","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20210323&gameId=20210323HHOB0&section=HIGHLIGHT","한화",4,"두산",3,"한화",2021,3,"경기일정","https://tv.naver.com/embed/19145761?autoPlay=true",""
67,23/03/21,"13:00","사직","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20210323&gameId=20210323SKLT0&section=HIGHLIGHT","SSG",2,"롯데",3,"롯데",2021,3,"경기일정","https://tv.naver.com/embed/19144515?autoPlay=true",""
70,23/03/21,"13:00","수원","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20210323&gameId=20210323LGKT0&section=HIGHLIGHT","LG",4,"KT",4,"무승부",2021,3,"경기일정","https://tv.naver.com/embed/19146102?autoPlay=true",""
71,25/03/21,"13:00","잠실","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20210325&gameId=20210325LGOB0&section=HIGHLIGHT","LG",6,"두산",3,"LG",2021,3,"경기일정","https://tv.naver.com/embed/19195039?autoPlay=true",""
76,26/03/21,"13:00","잠실","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20210326&gameId=20210326OBLG0&section=HIGHLIGHT","두산",7,"LG",3,"두산",2021,3,"경기일정","https://tv.naver.com/embed/19214870?autoPlay=true",""
78,26/03/21,"13:00","창원","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20210326&gameId=20210326WONC0&section=HIGHLIGHT","키움",7,"NC",7,"무승부",2021,3,"경기일정","https://tv.naver.com/embed/19215247?autoPlay=true",""
81,27/03/21,"13:00","한밭","우천취소","","롯데",,"한화",,"",2021,3,"경기일정","",""
82,27/03/21,"13:00","잠실","우천취소","","삼성",,"LG",,"",2021,3,"경기일정","",""
83,27/03/21,"13:00","문학","우천취소","","두산",,"SSG",,"",2021,3,"경기일정","",""
84,27/03/21,"13:00","수원","우천취소","","NC",,"KT",,"",2021,3,"경기일정","",""
85,27/03/21,"13:00","광주","우천취소","","키움",,"KIA",,"",2021,3,"경기일정","",""
86,28/03/21,"13:00","한밭","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20210328&gameId=20210328LTHH0&section=HIGHLIGHT","롯데",0,"한화",2,"한화",2021,3,"경기일정","https://tv.naver.com/embed/19242224?autoPlay=true",""
88,28/03/21,"13:00","문학","그라운드사정","","두산",,"SSG",,"",2021,3,"경기일정","",""
91,29/03/21,"13:00","한밭","미세먼지취소","","키움",,"한화",,"",2021,3,"경기일정","",""
92,29/03/21,"13:00","대구","미세먼지취소","","두산",,"삼성",,"",2021,3,"경기일정","",""
93,29/03/21,"13:00","광주","미세먼지취소","","KT",,"KIA",,"",2021,3,"경기일정","",""
95,29/03/21,"18:00","사직","미세먼지취소","","NC",,"롯데",,"",2021,3,"경기일정","",""
96,30/03/21,"12:00","잠실","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20210330&gameId=20210330SKLG0&section=HIGHLIGHT","SSG",3,"LG",2,"SSG",2021,3,"경기일정","https://tv.naver.com/embed/19278788?autoPlay=true",""
97,30/03/21,"13:00","한밭","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20210330&gameId=20210330WOHH0&section=HIGHLIGHT","키움",2,"한화",9,"한화",2021,3,"경기일정","https://tv.naver.com/embed/19280802?autoPlay=true",""
98,30/03/21,"13:00","대구","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20210330&gameId=20210330OBSS0&section=HIGHLIGHT","두산",6,"삼성",5,"두산",2021,3,"경기일정","https://tv.naver.com/embed/19281177?autoPlay=true",""
99,30/03/21,"13:00","광주","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20210330&gameId=20210330KTHT0&section=HIGHLIGHT","KT",6,"KIA",3,"KT",2021,3,"경기일정","https://tv.naver.com/embed/19280583?autoPlay=true",""
101,12/03/22,"13:00","사직","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20220312&gameId=20220312SKLT0&section=HIGHLIGHT","SSG",8,"롯데",5,"SSG",2022,3,"경기일정","https://tv.naver.com/embed/25606693?autoPlay=true",""
102,12/03/22,"13:00","대구","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20220312&gameId=20220312HHSS0&section=HIGHLIGHT","한화",9,"삼성",7,"한화",2022,3,"경기일정","https://tv.naver.com/embed/25607053?autoPlay=true",""
103,12/03/22,"13:00","창원","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20220312&gameId=20220312HTNC0&section=HIGHLIGHT","KIA",7,"NC",0,"KIA",2022,3,"경기일정","https://tv.naver.com/embed/25606512?autoPlay=true",""
106,13/03/22,"13:00","사직","우천취소","","SSG",,"롯데",,"",2022,3,"경기일정","",""
107,13/03/22,"13:00","대구","우천취소","","한화",,"삼성",,"",2022,3,"경기일정","",""
108,13/03/22,"13:00","창원","우천취소","","KIA",,"NC",,"",2022,3,"경기일정","",""
109,13/03/22,"13:00","수원","그라운드사정","","LG",,"KT",,"",2022,3,"경기일정","",""
111,14/03/22,"13:00","사직","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20220314&gameId=20220314HHLT0&section=HIGHLIGHT","한화",2,"롯데",13,"롯데",2022,3,"경기일정","https://tv.naver.com/embed/25636322?autoPlay=true",""
113,14/03/22,"13:00","창원","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20220314&gameId=20220314SKNC0&section=HIGHLIGHT","SSG",7,"NC",6,"SSG",2022,3,"경기일정","https://tv.naver.com/embed/25636551?autoPlay=true",""
114,14/03/22,"13:00","수원","우천취소","","두산",,"KT",,"",2022,3,"경기일정","",""
116,15/03/22,"13:00","사직","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20220315&gameId=20220315HHLT0&section=HIGHLIGHT","한화",12,"롯데",13,"롯데",2022,3,"경기일정","https://tv.naver.com/embed/25657883?autoPlay=true",""
118,15/03/22,"13:00","창원","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20220315&gameId=20220315SKNC0&section=HIGHLIGHT","SSG",2,"NC",3,"NC",2022,3,"경기일정","https://tv.naver.com/embed/25655640?autoPlay=true",""
121,17/03/22,"13:00","사직","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20220317&gameId=20220317OBLT0&section=HIGHLIGHT","두산",2,"롯데",3,"롯데",2022,3,"경기일정","https://tv.naver.com/embed/25703487?autoPlay=true",""
122,17/03/22,"13:00","대구","우천취소","","LG",,"삼성",,"",2022,3,"경기일정","",""
126,18/03/22,"13:00","사직","그라운드사정","","두산",,"롯데",,"",2022,3,"경기일정","",""
127,18/03/22,"13:00","대구","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20220318&gameId=20220318LGSS0&section=HIGHLIGHT","LG",16,"삼성",3,"LG",2022,3,"경기일정","https://tv.naver.com/embed/25724600?autoPlay=true",""
130,18/03/22,"13:00","고척","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20220318&gameId=20220318SKWO0&section=HIGHLIGHT","SSG",4,"키움",3,"SSG",2022,3,"경기일정","https://tv.naver.com/embed/25724153?autoPlay=true",""
131,19/03/22,"13:00","사직","우천취소","","KIA",,"롯데",,"",2022,3,"경기일정","",""
132,19/03/22,"13:00","대구","우천취소","","두산",,"삼성",,"",2022,3,"경기일정","",""
133,19/03/22,"13:00","창원","그라운드사정","","LG",,"NC",,"",2022,3,"경기일정","",""
134,19/03/22,"13:00","수원","우천취소","","SSG",,"KT",,"",2022,3,"경기일정","",""
136,20/03/22,"13:00","사직","-","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20220320&gameId=20220320HTLT0&section=HIGHLIGHT","KIA",2,"롯데",4,"롯데",2022,3,"경기일정","https://tv.naver.com/embed/25748908?autoPlay=true",""
