away_team_score,game_date,home_team_score,month,year,game_time,id,away_team,boardse,highlight_thumb,highlight_url,home_team,record_type,remarks,stadium,victory_team
5.0,2020-05-06,2.0,5,2020,18:30,56,두산,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200506&gameId=20200506OBLG0&section=HIGHLIGHT,,,LG,경기일정,-,잠실,두산
8.0,2020-05-07,2.0,5,2020,18:30,63,NC,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200507&gameId=20200507NCSS0&section=HIGHLIGHT,,,삼성,경기일정,-,대구,NC
8.0,2020-05-07,4.0,5,2020,18:30,62,한화,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200507&gameId=20200507HHSK0&section=HIGHLIGHT,,,SK,경기일정,-,문학,한화
9.0,2020-05-07,3.0,5,2020,18:30,61,두산,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200507&gameId=20200507OBLG0&section=HIGHLIGHT,,,LG,경기일정,-,잠실,두산
5.0,2020-05-07,8.0,5,2020,18:30,65,키움,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200507&gameId=20200507WOHT0&section=HIGHLIGHT,,,KIA,경기일정,-,광주,KIA
7.0,2020-05-07,3.0,5,2020,18:30,64,롯데,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200507&gameId=20200507LTKT0&section=HIGHLIGHT,,,KT,경기일정,-,수원,롯데
3.0,2020-05-08,5.0,5,2020,18:30,70,한화,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200508&gameId=20200508HHWO0&section=HIGHLIGHT,,,키움,경기일정,-,고척,키움
5.0,2020-05-08,13.0,5,2020,18:30,69,LG,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200508&gameId=20200508LGNC0&section=HIGHLIGHT,,,NC,경기일정,-,창원,NC
0.0,2020-05-08,5.0,5,2020,18:30,68,KIA,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200508&gameId=20200508HTSS0&section=HIGHLIGHT,,,삼성,경기일정,-,대구,삼성
8.0,2020-05-08,9.0,5,2020,18:30,67,SK,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200508&gameId=20200508SKLT0&section=HIGHLIGHT,,,롯데,경기일정,-,사직,롯데
12.0,2020-05-08,3.0,5,2020,18:30,66,KT,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200508&gameId=20200508KTOB0&section=HIGHLIGHT,,,두산,경기일정,-,잠실,KT
,2020-05-09,,5,2020,17:00,71,KT,,,,두산,경기일정,우천취소,잠실,
,2020-05-09,,5,2020,17:00,72,SK,,,,롯데,경기일정,우천취소,사직,
2.0,2020-05-09,14.0,5,2020,17:00,73,KIA,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200509&gameId=20200509HTSS0&section=HIGHLIGHT,,,삼성,경기일정,-,대구,삼성
,2020-05-09,,5,2020,17:00,74,LG,,,,NC,경기일정,우천취소,창원,
3.0,2020-05-09,5.0,5,2020,17:00,75,한화,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20200509&gameId=20200509HHWO0&section=HIGHLIGHT,,,키움,경기일정,-,고척,키움
