p_no	player_name	KBO_id	img_url	back_no	birth	position	height	weight	history	signing_fee	salary	draft	join_year	IDKEY	Year	Age	Pos.	G	hand	player_type	b_AB	b_AVG	p_BK	p_CG	b_CS	p_ER	p_ERA	p_FIP	b_GDP	p_GF	p_GR	p_GS	p_HD	p_IP	p_L	b_OBP	b_OPS	b_PA	b_R/ePA	p_RA9	b_RBI	p_ROE	p_S	b_SB	b_SF	b_SH	p_SHO	b_SLG	b_TB	p_TBF	p_W	p_WHIP	p_WP	b_2B	b_3B	b_BB	b_H	b_HP	b_HR	b_IB	b_R	b_SO	b_WAR	b_dWAR	b_ePA	b_oWAR	p_2B	p_3B	p_BB	p_H	p_HP	p_HR	p_IB	p_R	p_SO	p_WAR	p_rRA	p_rRA9	b_wRC+
10590	류현진	76715	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/76715.jpg	99.0	1987년 03월 25일	투수(좌투우타)	190.0	113.0	창영초-동산중-동산고-(대전대)-한화-LA다저스-토론토	25000만원	200000만원	06 한화 2차 1라운드 2순위	06한화	HH	2025.0	38.0	P	24.0	left	pitcher			0.0	0.0		47.0	3.3	3.35		0.0	0.0	24.0	0.0	128.1	7.0					3.58		3.0	0.0				0.0			526.0	8.0	1.2	2.0														20.0	3.0	24.0	130.0	4.0	10.0	2.0	51.0	109.0	4.32	50.5	3.54	
16396	리베라토	55703	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55703.jpg	0.0	1995년 12월 18일	외야수(좌투좌타)	185.0	79.0	Esperanza Milena Martinez (고)		205000달러	25 한화 부상 대체 외국인선수	25한화	HH	2025.0	30.0	CF	52.0	left	batter	206.0	0.33			0.0				3.0							0.39	0.939	231.0	0.19		34.0			1.0	3.0	0.0		0.549	113.0					14.0	2.0	22.0	68.0	0.0	9.0	0.0	37.0	39.0	2.07	-0.39	231.0	2.45													153.0
15013	문동주	52701	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52701.jpg	1.0	2003년 12월 23일	투수(우투우타)	188.0	97.0	광주화정초-무등중-진흥고	50000만원	10000만원	22 한화 1차	22한화	HH	2025.0	22.0	P	22.0	right	pitcher			0.0	1.0		48.0	3.68	2.66		1.0	0.0	22.0	0.0	117.1	4.0					3.91		2.0	0.0				0.0			481.0	11.0	1.14	10.0														16.0	5.0	31.0	103.0	3.0	6.0	0.0	51.0	130.0	3.6	49.8	3.82	
15422	문현빈	53764	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53764.jpg	51.0	2004년 04월 20일	내야수(우투좌타)	174.0	82.0	대전유천초-온양중-북일고	15000만원	8800만원	23 한화 2라운드 11순위	23한화	HH	2025.0	21.0	LF	131.0	left	batter	490.0	0.327			5.0				10.0							0.376	0.841	550.0	0.155		75.0			16.0	10.0	5.0		0.465	228.0					28.0	2.0	36.0	160.0	9.0	12.0	2.0	66.0	76.0	2.44	-0.73	543.0	3.16													125.0
12871	박상원	67703	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67703.jpg	58.0	1994년 09월 09일	투수(우투우타)	187.0	98.0	백운초-서울이수중-휘문고-연세대	8000만원	22000만원	17 한화 2차 3라운드 25순위	17한화	HH	2025.0	31.0	P	71.0	right	pitcher			0.0	0.0		28.0	3.94	4.26		1.0	71.0	0.0	15.0	64.0	3.0					4.5		4.0	0.0				0.0			281.0	4.0	1.3	4.0														13.0	1.0	21.0	62.0	8.0	4.0	0.0	32.0	47.0	1.22	32.35	4.55	
10261	손아섭	77532	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/77532.jpg	31.0	1988년 03월 18일	외야수(우투좌타)	174.0	84.0	양정초-개성중-부산고-롯데-NC	8000만원	50000만원	07 롯데 2차 4라운드 29순위	07롯데	HH	2025.0	37.0	DH	76.0	left	batter	240.0	0.3			3.0				1.0							0.362	0.741	267.0	0.127		33.0			0.0	1.0	2.0		0.379	91.0					13.0	3.0	24.0	72.0	0.0	0.0	2.0	21.0	33.0	1.14	0.43	263.0	0.71													103.6
14140	구본혁	69100	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69100.jpg	6.0	1997년 01월 11일	내야수(우투우타)	177.0	75.0	중대초-잠신중-장충고-동국대-LG-상무	5000만원	13500만원	19 LG 2차 6라운드 55순위	19LG	LG	2025.0	28.0	SS	121.0	right	batter	316.0	0.285			5.0				4.0							0.363	0.721	366.0	0.125		35.0			10.0	0.0	11.0		0.358	113.0					16.0	2.0	34.0	90.0	5.0	1.0	1.0	38.0	38.0	3.25	1.18	354.0	2.06													107.3
16274	김영우	55167	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55167.jpg	67.0	2005년 01월 14일	투수(우투우타)	185.0	90.0	양원초(서대문구리틀)-신월중-서울고	20000만원	3000만원	25 LG 1라운드 10순위	25LG	LG	2025.0	20.0	P	59.0	right	pitcher			0.0	0.0		13.0	2.15	3.64		11.0	59.0	0.0	6.0	54.1	2.0					2.32		0.0	1.0				0.0			230.0	2.0	1.34	5.0														13.0	0.0	28.0	45.0	2.0	2.0	2.0	14.0	51.0	1.63	18.45	3.06	
11166	김진성	75867	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/75867.jpg	42.0	1985년 03월 07일	투수(우투우타)	186.0	90.0	인헌초-성남중-성남서고-SK-NC		33000만원	04 SK 2차 6라운드 42순위	05SK	LG	2025.0	40.0	P	71.0	right	pitcher			0.0	0.0		27.0	3.74	4.02		2.0	71.0	0.0	30.0	65.0	4.0					3.88		3.0	1.0				0.0			269.0	6.0	1.23	1.0														5.0	3.0	22.0	58.0	0.0	7.0	1.0	28.0	57.0	0.47	37.3	5.16	
10187	김현수	76290	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/76290.jpg	22.0	1988년 01월 12일	외야수(우투좌타)	188.0	105.0	쌍문초-신일중-신일고-두산-볼티모어-필라델피아		50000만원	06 두산 육성선수	06두산	LG	2025.0	37.0	LF	130.0	left	batter	447.0	0.304			0.0				10.0							0.391	0.818	512.0	0.16		86.0			4.0	1.0	0.0		0.427	191.0					22.0	0.0	61.0	136.0	3.0	11.0	1.0	62.0	67.0	3.35	-0.12	512.0	3.47													137.4
14137	문보경	69102	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69102.jpg	2.0	2000년 07월 19일	내야수(우투좌타)	182.0	88.0	송중초(동대문구리틀)-덕수중-신일고	8000만원	41000만원	19 LG 2차 3라운드 25순위	21LG	LG	2025.0	25.0	3B	131.0	left	batter	483.0	0.288			1.0				14.0							0.381	0.863	570.0	0.169		108.0			3.0	9.0	0.0		0.482	233.0					20.0	1.0	74.0	139.0	4.0	24.0	3.0	87.0	90.0	4.46	-0.47	568.0	4.93													145.2
13112	문성주	68119	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68119.jpg	8.0	1997년 02월 20일	외야수(좌투좌타)	175.0	78.0	포항서초-포항제철중-경북고-강릉영동대	3000만원	18000만원	18 LG 2차 10라운드 97순위	18LG	LG	2025.0	28.0	RF	124.0	left	batter	430.0	0.316			3.0				10.0							0.388	0.776	495.0	0.145		64.0			4.0	9.0	0.0		0.388	167.0					20.0	1.0	52.0	136.0	4.0	3.0	0.0	55.0	53.0	3.0	0.51	495.0	2.49													124.1
10387	박동원	79365	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/79365.jpg	27.0	1990년 04월 07일	포수(우투우타)	178.0	92.0	양정초-개성중-개성고-히어로즈-상무-히어로즈-키움-KIA	6000만원	120000만원	09 히어로즈 2차 3라운드 19순위	09히어로즈	LG	2025.0	35.0	C	128.0	right	batter	414.0	0.251			0.0				9.0							0.34	0.787	480.0	0.138		67.0			4.0	5.0	3.0		0.447	185.0					24.0	0.0	56.0	104.0	2.0	19.0	4.0	50.0	114.0	4.48	0.39	475.0	4.09													118.3
15486	박명근	53139	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53139.jpg	39.0	2004년 03월 27일	투수(우언우타)	174.0	75.0	수택초(구리리틀)-구리인창중-라온고	11000만원	6000만원	23 LG 3라운드 27순위	23LG	LG	2025.0	21.0	P	42.0	right	pitcher			1.0	0.0		18.0	4.34	4.71		12.0	42.0	0.0	10.0	37.1	4.0					4.34		0.0	4.0				0.0			160.0	3.0	1.31	0.0														4.0	1.0	16.0	33.0	4.0	4.0	2.0	18.0	30.0	0.83	16.25	3.92	
11190	박해민	62415	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62415.jpg	17.0	1990년 02월 24일	외야수(우투좌타)	180.0	75.0	영중초-양천중-신일고-한양대-삼성		60000만원	12 삼성 육성선수	12삼성	LG	2025.0	35.0	CF	133.0	left	batter	406.0	0.271			14.0				6.0							0.378	0.72	503.0	0.134		40.0			47.0	4.0	21.0		0.342	139.0					16.0	2.0	64.0	110.0	8.0	3.0	0.0	72.0	87.0	4.05	1.16	482.0	2.89													115.0
12908	손주영	67143	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67143.jpg	29.0	1998년 12월 02일	투수(좌투좌타)	191.0	95.0	울산대현초-개성중-경남고	15000만원	17200만원	17 LG 2차 1라운드 2순위	17LG	LG	2025.0	27.0	P	26.0	left	pitcher			0.0	0.0		54.0	3.47	3.56		0.0	1.0	25.0	0.0	140.0	6.0					4.05		14.0	0.0				0.0			588.0	10.0	1.32	5.0														19.0	2.0	43.0	142.0	4.0	8.0	0.0	63.0	117.0	3.64	59.9	3.85	
14846	송승기	51111	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51111.jpg	13.0	2002년 04월 10일	투수(좌투좌타)	181.0	90.0	삼일초-매향중-야탑고-LG-상무	3000만원	3600만원	21 LG 2차 9라운드 87순위	22LG	LG	2025.0	23.0	P	25.0	left	pitcher			0.0	0.0		50.0	3.47	4.12		0.0	1.0	24.0	0.0	129.2	5.0					3.82		7.0	0.0				0.0			564.0	10.0	1.35	2.0														22.0	1.0	47.0	128.0	1.0	13.0	0.0	55.0	112.0	3.64	53.75	3.73	
13109	송찬의	68110	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68110.jpg	14.0	1999년 02월 20일	외야수(우투우타)	182.0	80.0	화곡초-선린중-선린인터넷고	5000만원	3500만원	18 LG 2차 7라운드 67순위	22LG	LG	2025.0	26.0	RF	66.0	right	batter	147.0	0.211			2.0				4.0							0.291	0.638	166.0	0.087		20.0			2.0	1.0	1.0		0.347	51.0					9.0	1.0	9.0	31.0	8.0	3.0	0.0	18.0	49.0	0.0	0.08	165.0	-0.08													74.0
13056	신민재	65207	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65207.jpg	4.0	1996년 01월 21일	내야수(우투좌타)	171.0	67.0	서흥초-동인천중-인천고		20000만원	15 두산 육성선수	19LG	LG	2025.0	29.0	2B	124.0	left	batter	421.0	0.316			8.0				6.0							0.402	0.789	494.0	0.156		51.0			14.0	4.0	6.0		0.387	163.0					13.0	7.0	60.0	133.0	3.0	1.0	0.0	83.0	52.0	3.18	-0.79	488.0	3.97													134.0
15035	김영웅	52430	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52430.jpg	30.0	2003년 08월 24일	내야수(우투좌타)	183.0	81.0	공주중동초-야로중-물금고	17000만원	15000만원	22 삼성 2차 1라운드 3순위	22삼성	SS	2025.0	22.0	3B	114.0	left	batter	401.0	0.249			2.0				4.0							0.321	0.762	448.0	0.126		60.0			6.0	3.0	0.0		0.441	177.0					21.0	1.0	42.0	100.0	2.0	18.0	3.0	56.0	129.0	2.17	0.69	446.0	1.48													98.5
11344	김재성	65132	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65132.jpg	2.0	1996년 10월 30일	포수(우투좌타)	185.0	85.0	신광초-성남중-덕수고-LG-경찰-LG	20000만원	5500만원	15 LG 1차	15LG	SS	2025.0	29.0	C	39.0	left	batter	61.0	0.131			0.0				0.0							0.229	0.393	71.0	0.009		4.0			0.0	1.0	1.0		0.164	10.0					2.0	0.0	6.0	8.0	2.0	0.0	0.0	3.0	23.0	-0.43	-0.07	70.0	-0.36													7.1
11489	김재윤	65062	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65062.jpg	62.0	1990년 09월 16일	투수(우투우타)	185.0	91.0	서울도곡초-휘문중-휘문고-KT		80000만원	15 KT 2차 특별 13순위	09애리조나	SS	2025.0	35.0	P	58.0	right	pitcher			0.0	0.0		30.0	5.09	4.95		29.0	58.0	0.0	3.0	53.0	7.0					5.43		2.0	10.0				0.0			220.0	4.0	1.17	1.0														10.0	2.0	12.0	50.0	1.0	10.0	2.0	32.0	42.0	0.46	33.35	5.66	
14618	김지찬	50458	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50458.jpg	58.0	2001년 03월 08일	외야수(우투좌타)	163.0	64.0	백사초(이천시리틀)-모가중-라온고	11000만원	28000만원	20 삼성 2차 2라운드 15순위	20삼성	SS	2025.0	24.0	CF	79.0	left	batter	286.0	0.276			2.0				7.0							0.358	0.673	336.0	0.112		22.0			20.0	3.0	9.0		0.315	90.0					7.0	2.0	34.0	79.0	4.0	0.0	0.0	53.0	37.0	0.68	-0.42	327.0	1.1													89.2
11336	김태훈	65040	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65040.jpg	25.0	1996년 03월 31일	외야수(우투좌타)	177.0	78.0	진흥초(안산리틀)-평촌중-유신고-KT	6000만원	4500만원	15 KT 2차 5라운드 53순위	15KT	SS	2025.0	29.0	LF	47.0	left	batter	90.0	0.244			0.0				0.0							0.261	0.583	94.0	0.056		7.0			1.0	0.0	2.0		0.322	29.0					1.0	0.0	2.0	22.0	0.0	2.0	0.0	4.0	22.0	-0.4	-0.07	92.0	-0.33													44.1
10640	김헌곤	61404	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/61404.jpg	32.0	1988년 11월 09일	외야수(우투우타)	174.0	81.0	회원초-경복중-제주관광고-영남대-삼성-상무	7000만원	10000만원	11 삼성 5라운드 36순위	11삼성	SS	2025.0	37.0	RF	68.0	right	batter	165.0	0.236			1.0				4.0							0.294	0.603	182.0	0.075		11.0			2.0	1.0	2.0		0.309	51.0					6.0	0.0	10.0	39.0	4.0	2.0	0.0	20.0	26.0	-0.62	-0.14	180.0	-0.48													57.5
16162	디아즈	54400	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54400.jpg	0.0	1996년 11월 19일	내야수(좌투좌타)	188.0	105.0	도미니카 Daniel Smith(고)		500000달러	24 삼성 자유선발	24삼성	SS	2025.0	29.0	1B	133.0	left	batter	510.0	0.298			0.0				13.0							0.364	0.982	579.0	0.192		135.0			1.0	10.0	0.0		0.618	315.0					25.0	0.0	54.0	152.0	5.0	46.0	7.0	84.0	95.0	4.46	0.94	574.0	3.52													149.7
15861	레예스	54443	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54443.jpg		1996년 11월 02일	투수(우투우타)	198.0	113.0	도미니카 Melida Altagracia Baez(고)-삼성	100000달러	700000달러	24 삼성 자유선발	24삼성	SS	2025.0	29.0	P	10.0	right	pitcher			0.0	0.0		23.0	4.14	4.3		0.0	0.0	10.0	0.0	50.0	3.0					4.68		1.0	0.0				0.0			215.0	4.0	1.26	0.0														7.0	1.0	12.0	51.0	3.0	5.0	0.0	26.0	35.0	1.19	24.8	4.46	
10894	류지혁	62234	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62234.jpg	16.0	1994년 01월 13일	내야수(우투좌타)	181.0	75.0	청원초-선린중-충암고-두산-상무-두산-KIA	7000만원	60000만원	12 두산 4라운드 36순위	12두산	SS	2025.0	31.0	2B	119.0	left	batter	371.0	0.278			6.0				10.0							0.351	0.672	433.0	0.107		35.0			11.0	4.0	14.0		0.321	119.0					13.0	0.0	32.0	103.0	12.0	1.0	0.0	52.0	70.0	1.49	0.52	419.0	0.96													83.5
10470	박병호	75125	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/75125.jpg	52.0	1986년 07월 10일	내야수(우투우타)	185.0	107.0	영일초(광명리틀)-영남중-성남고-상무-LG-히어로즈-미네소타-넥센-키움-KT	33000만원	38000만원	05 LG 1차	05LG	SS	2025.0	39.0	DH	68.0	right	batter	175.0	0.2			0.0				5.0							0.324	0.804	210.0	0.147		33.0			0.0	2.0	0.0		0.48	84.0					4.0	0.0	27.0	35.0	6.0	15.0	0.0	25.0	62.0	0.53	0.21	210.0	0.32													112.4
14122	박승규	69418	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69418.jpg	66.0	2000년 09월 02일	외야수(우투우타)	178.0	80.0	일산초-덕수중-경기고-삼성-상무	3000만원	5200만원	19 삼성 2차 9라운드 82순위	19삼성	SS	2025.0	25.0	CF	64.0	right	batter	174.0	0.287			4.0				2.0							0.377	0.797	200.0	0.152		14.0			5.0	0.0	1.0		0.42	73.0					5.0	0.0	21.0	50.0	4.0	6.0	0.0	39.0	43.0	1.26	0.09	199.0	1.17													118.7
16239	배찬승	55455	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55455.jpg	55.0	2006년 01월 01일	투수(좌투좌타)	180.0	85.0	대구옥산초-협성경복중-대구고	40000만원	3000만원	25 삼성 1라운드 3순위	25삼성	SS	2025.0	19.0	P	61.0	left	pitcher			0.0	0.0		22.0	4.13	4.15		5.0	61.0	0.0	17.0	48.0	3.0					4.69		3.0	0.0				0.0			222.0	1.0	1.69	5.0														10.0	0.0	33.0	48.0	2.0	3.0	1.0	25.0	53.0	0.54	28.45	5.33	
10363	백정현	77446	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/77446.jpg	29.0	1987년 07월 13일	투수(좌투좌타)	184.0	80.0	대구옥산초-대구중-대구상원고	15000만원	40000만원	07 삼성 2차 1라운드 8순위	07삼성	SS	2025.0	38.0	P	29.0	left	pitcher			0.0	0.0		7.0	1.95	2.76		8.0	28.0	1.0	3.0	32.1	0.0					1.95		3.0	1.0				0.0			128.0	2.0	0.8	0.0														6.0	0.0	7.0	19.0	2.0	1.0	0.0	7.0	31.0	1.43	9.05	2.52	
15875	양도근	54408	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54408.jpg	68.0	2003년 02월 06일	내야수(우투우타)	173.0	72.0	인천동막초-상인천중-장안고-강릉영동대		3500만원	24 삼성 육성선수	24삼성	SS	2025.0	22.0	2B	106.0	right	batter	160.0	0.269			1.0				3.0							0.348	0.648	191.0	0.103		16.0			5.0	1.0	10.0		0.3	48.0					5.0	0.0	18.0	43.0	2.0	0.0	0.0	21.0	40.0	1.33	0.68	181.0	0.65													81.1
13157	양창섭	68415	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68415.jpg	42.0	1999년 09월 22일	투수(우투우타)	182.0	85.0	녹천초(노원구리틀)-청량중-덕수고	26000만원	4800만원	18 삼성 2차 1라운드 2순위	18삼성	SS	2025.0	26.0	P	29.0	right	pitcher			0.0	0.0		22.0	3.41	4.12		6.0	24.0	5.0	1.0	58.0	2.0					4.19		3.0	0.0				0.0			253.0	3.0	1.34	4.0														9.0	0.0	16.0	62.0	9.0	3.0	1.0	27.0	41.0	1.08	29.75	4.62	
14113	원태인	69446	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69446.jpg	18.0	2000년 04월 06일	투수(우투우타)	183.0	92.0	율하초(중구리틀)-경복중-경북고	35000만원	63000만원	19 삼성 1차	19삼성	SS	2025.0	25.0	P	25.0	right	pitcher			0.0	0.0		56.0	3.26	4.38		0.0	0.0	25.0	0.0	154.2	4.0					3.43		4.0	0.0				0.0			617.0	11.0	1.09	1.0														30.0	2.0	25.0	143.0	5.0	19.0	1.0	59.0	99.0	5.35	58.0	3.38	
12562	이성규	66409	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66409.jpg	13.0	1993년 08월 03일	외야수(우투우타)	178.0	82.0	광주대성초-광주동성중-광주동성고-인하대-삼성-경찰	8000만원	13000만원	16 삼성 2차 4라운드 31순위	16삼성	SS	2025.0	32.0	RF	57.0	right	batter	91.0	0.176			2.0				2.0							0.313	0.687	113.0	0.112		16.0			2.0	2.0	1.0		0.374	34.0					4.0	1.0	11.0	16.0	8.0	4.0	0.0	11.0	40.0	0.43	0.39	112.0	0.04													87.0
14616	이승민	50464	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50464.jpg	28.0	2000년 08월 26일	투수(좌투좌타)	174.0	79.0	본리초-경상중-대구고-삼성-상무	7000만원	5000만원	20 삼성 2차 4라운드 35순위	20삼성	SS	2025.0	25.0	P	54.0	left	pitcher			0.0	0.0		25.0	3.86	4.07		10.0	53.0	1.0	7.0	58.1	2.0					5.4		3.0	0.0				0.0			252.0	3.0	1.32	1.0														12.0	2.0	21.0	56.0	2.0	5.0	2.0	35.0	48.0	0.42	38.1	5.88	
10527	이승현	51454	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51454.jpg	57.0	2002년 05월 19일	투수(좌투좌타)	183.0	102.0	남도초-경복중-대구상원고	35000만원	12000만원	21 삼성 1차	21삼성	SS	2025.0	34.0	P	36.0	right	pitcher			0.0	0.0		19.0	5.4	4.93		7.0	36.0	0.0	9.0	31.2	1.0					5.68		0.0	0.0				0.0			141.0	2.0	1.45	1.0														5.0	0.0	9.0	37.0	1.0	6.0	1.0	20.0	27.0	-0.07	24.25	6.89	
15034	이재현	52415	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52415.jpg	7.0	2003년 02월 04일	내야수(우투우타)	180.0	82.0	서울이수초-선린중-서울고	22000만원	21000만원	22 삼성 1차	22삼성	SS	2025.0	22.0	SS	128.0	right	batter	414.0	0.237			1.0				8.0							0.343	0.732	502.0	0.127		57.0			6.0	8.0	9.0		0.389	161.0					24.0	0.0	61.0	98.0	10.0	13.0	1.0	66.0	109.0	3.48	0.52	492.0	2.96													99.1
11334	심우준	64006	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64006.jpg	2.0	1995년 04월 28일	내야수(우투우타)	183.0	75.0	송정동초-언북중-경기고-(영남사이버대)-KT-상무-KT	13000만원	50000만원	14 KT 2차 특별 14순위	14KT	HH	2025.0	30.0	SS	85.0	right	batter	224.0	0.228			1.0				4.0							0.284	0.588	249.0	0.068		21.0			10.0	1.0	6.0		0.304	68.0					9.0	1.0	15.0	51.0	3.0	2.0	0.0	35.0	45.0	0.71	0.41	243.0	0.3													55.2
10014	안치홍	79608	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/79608.jpg	3.0	1990년 07월 02일	내야수(우투우타)	178.0	97.0	구지초(구리리틀)-대치중-서울고-KIA-경찰-KIA-롯데	18000만원	50000만원	09 KIA 2차 1라운드 1순위	09KIA	HH	2025.0	35.0	DH	61.0	right	batter	162.0	0.167			0.0				4.0							0.236	0.446	181.0	0.016		15.0			3.0	1.0	3.0		0.21	34.0					4.0	0.0	14.0	27.0	1.0	1.0	2.0	8.0	37.0	-1.55	0.03	177.0	-1.58													12.8
11318	엄상백	65056	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65056.jpg	11.0	1996년 10월 04일	투수(우언우타)	187.0	72.0	역삼초-언북중-덕수고-KT-상무-KT	23000만원	90000만원	15 KT 1차	15KT	HH	2025.0	29.0	P	24.0	right	pitcher			0.0	0.0		58.0	6.84	5.29		0.0	8.0	16.0	1.0	76.1	7.0					6.96		0.0	0.0				0.0			363.0	1.0	1.81	3.0														18.0	3.0	36.0	102.0	8.0	12.0	0.0	59.0	71.0	-0.06	58.85	6.94	
16153	와이스	54755	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54755.jpg	55.0	1996년 12월 10일	투수(우투우타)	193.0	95.0	미국 Wright State(대)	12000달러	600000달러	24 한화 부상 대체 외국인선수	24한화	HH	2025.0	29.0	P	27.0	right	pitcher			2.0	0.0		52.0	2.9	3.09		0.0	0.0	27.0	0.0	161.1	4.0					3.12		6.0	0.0				0.0			657.0	15.0	1.05	5.0														26.0	1.0	52.0	117.0	11.0	11.0	0.0	56.0	185.0	6.43	55.3	3.08	
11414	이도윤	65703	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65703.jpg	7.0	1996년 10월 07일	내야수(우투좌타)	175.0	79.0	고명초-배재중-북일고	8000만원	11000만원	15 한화 2차 3라운드 24순위	15한화	HH	2025.0	29.0	2B	103.0	left	batter	233.0	0.262			0.0				5.0							0.3	0.648	259.0	0.084		33.0			1.0	3.0	9.0		0.348	81.0					11.0	3.0	11.0	61.0	3.0	1.0	1.0	32.0	48.0	0.52	0.16	249.0	0.36													66.8
13138	이원석	68700	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68700.jpg	50.0	1999년 03월 31일	외야수(우투우타)	177.0	80.0	화곡초-충암중-충암고	8000만원	5000만원	18 한화 2차 4라운드 34순위	19한화	HH	2025.0	26.0	RF	118.0	right	batter	189.0	0.19			3.0				4.0							0.284	0.57	220.0	0.07		22.0			21.0	1.0	5.0		0.286	54.0					6.0	0.0	21.0	36.0	4.0	4.0	0.0	53.0	46.0	0.44	0.64	215.0	-0.2													56.7
10082	이재원	76812	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/76812.jpg	20.0	1988년 02월 24일	포수(우투우타)	185.0	98.0	인천숭의초-상인천중-인천고-SK-상무-SK-SSG	25000만원	10000만원	06 SK 1차	06SK	HH	2025.0	37.0	C	93.0	right	batter	122.0	0.205			1.0				3.0							0.286	0.548	148.0	0.063		12.0			1.0	3.0	8.0		0.262	32.0					2.0	1.0	14.0	25.0	1.0	1.0	0.0	4.0	23.0	0.2	0.18	140.0	0.02													50.5
12539	이진영	66657	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66657.jpg	10.0	1997년 07월 21일	외야수(우투우타)	183.0	89.0	둔촌초-선린중-선린인터넷고-KIA-경찰-KIA	5000만원	6200만원	16 KIA 2차 6라운드 58순위	16KIA	HH	2025.0	28.0	RF	106.0	right	batter	305.0	0.282			4.0				8.0							0.358	0.781	349.0	0.141		41.0			1.0	5.0	0.0		0.423	129.0					13.0	0.0	37.0	86.0	2.0	10.0	0.0	47.0	88.0	1.98	0.44	349.0	1.54													114.4
16301	정우주	55743	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55743.jpg	43.0	2006년 11월 07일	투수(우투우타)	184.0	88.0	구남초(남양주리틀)-건대부중-전주고	50000만원	3000만원	25 한화 1라운드 2순위	25한화	HH	2025.0	19.0	P	47.0	right	pitcher			1.0	0.0		17.0	3.19	3.23		15.0	46.0	1.0	3.0	48.0	0.0					3.38		3.0	0.0				0.0			207.0	3.0	1.08	2.0														6.0	1.0	19.0	33.0	8.0	6.0	0.0	18.0	76.0	1.13	20.75	3.89	
