p_no	player_name	KBO_id	img_url	back_no	birth	position	height	weight	history	signing_fee	salary	draft	join_year	IDKEY	Year	Age	Pos.	G	hand	player_type	b_AB	b_AVG	p_BK	p_CG	b_CS	p_ER	p_ERA	p_FIP	b_GDP	p_GF	p_GR	p_GS	p_HD	p_IP	p_L	b_OBP	b_OPS	b_PA	b_R/ePA	p_RA9	b_RBI	p_ROE	p_S	b_SB	b_SF	b_SH	p_SHO	b_SLG	b_TB	p_TBF	p_W	p_WHIP	p_WP	b_2B	b_3B	b_BB	b_H	b_HP	b_HR	b_IB	b_R	b_SO	b_WAR	b_dWAR	b_ePA	b_oWAR	p_2B	p_3B	p_BB	p_H	p_HP	p_HR	p_IB	p_R	p_SO	p_WAR	p_rRA	p_rRA9	b_wRC+
10870	김재현	62332	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62332.jpg	32.0	1993년 03월 18일	포수(우투우타)	178.0	90.0	진북초-전라중-대전고-히어로즈-상무	3000만원	10000만원	12 넥센 8라운드 76순위	12넥센	WO	2025.0	32.0	C	62.0	right	batter	120.0	0.208			0.0				1.0							0.234	0.484	128.0	0.021		5.0			1.0	0.0	4.0		0.25	30.0					5.0	0.0	1.0	25.0	3.0	0.0	0.0	12.0	31.0	-0.59	-0.23	124.0	-0.36													18.9
11244	김태진	64984	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64984.jpg	1.0	1995년 10월 07일	내야수(우투좌타)	169.0	73.0	수유초-신일중-신일고-NC-경찰-NC-KIA	8000만원	9000만원	14 NC 2차 4라운드 45순위	14NC	WO	2025.0	30.0	2B	91.0	left	batter	271.0	0.225			0.0				6.0							0.276	0.612	295.0	0.073		24.0			1.0	2.0	2.0		0.336	91.0					11.0	2.0	20.0	61.0	0.0	5.0	1.0	27.0	50.0	-0.61	-0.59	293.0	-0.02													65.2
16339	로젠버그	55322	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55322.jpg		1995년 07월 09일	투수(좌투좌타)	186.0	90.0	미국 California State(대)-키움		700000달러	25 키움 자유선발	25키움	WO	2025.0	27.0	P	13.0	left	pitcher			0.0	0.0		27.0	3.23	3.26		0.0	0.0	13.0	0.0	75.1	4.0					3.94		7.0	0.0				0.0			320.0	4.0	1.17	2.0														13.0	2.0	25.0	63.0	4.0	5.0	0.0	33.0	80.0	2.03	31.1	3.72	
16403	메르세데스	55342	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55342.jpg	42.0	1994년 03월 08일	투수(좌투양타)	188.0	82.0	도미니카 Colegio Nueva Esperanza(고)		200000달러	25 키움 자유선발	25키움	WO	2025.0	31.0	P	6.0	left	pitcher			0.0	0.0		15.0	3.93	3.52		0.0	0.0	6.0	0.0	34.1	2.0					4.19		2.0	0.0				0.0			147.0	2.0	1.37	2.0														7.0	0.0	9.0	38.0	0.0	3.0	0.0	16.0	31.0	0.64	16.0	4.19	
15475	박윤성	53301	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53301.jpg	35.0	2004년 02월 08일	투수(우투우타)	183.0	96.0	부산수영초-개성중-경남고	9000만원	3500만원	23 키움 3라운드 26순위	24키움	WO	2025.0	21.0	P	51.0	right	pitcher			1.0	0.0		25.0	4.62	5.21		10.0	51.0	0.0	6.0	48.2	5.0					5.55		2.0	1.0				0.0			211.0	0.0	1.38	4.0														12.0	0.0	17.0	50.0	0.0	9.0	0.0	30.0	39.0	-0.69	35.5	6.57	
14130	박주성	69328	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69328.jpg	0.0	2000년 11월 09일	투수(우투우타)	180.0	90.0	경동초(성동구리틀)-건대부중-경기고-키움-상무	15000만원	3700만원	19 넥센 1차	19키움	WO	2025.0	25.0	P	17.0	right	pitcher			0.0	0.0		38.0	6.89	5.9		5.0	11.0	6.0	1.0	49.2	3.0					7.25		2.0	0.0				0.0			226.0	1.0	1.53	2.0														11.0	2.0	15.0	61.0	3.0	9.0	0.0	40.0	26.0	-0.45	41.4	7.5	
14580	박주홍	50357	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50357.jpg	57.0	2001년 04월 16일	외야수(좌투좌타)	187.0	87.0	자양초(하남시리틀)-건대부중-장충고	20000만원	3700만원	20 키움 1차	20키움	WO	2025.0	24.0	RF	93.0	left	batter	215.0	0.237			1.0				3.0							0.32	0.66	245.0	0.102		23.0			10.0	2.0	1.0		0.34	73.0					9.0	2.0	26.0	51.0	1.0	3.0	0.0	30.0	68.0	0.21	-0.23	244.0	0.44													89.8
11376	송성문	65357	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65357.jpg	24.0	1996년 08월 29일	내야수(우투좌타)	183.0	88.0	봉천초(용산구리틀)-홍은중-장충고-히어로즈-키움-상무	8000만원	30000만원	15 넥센 2차 5라운드 49순위	15넥센	WO	2025.0	29.0	3B	135.0	left	batter	535.0	0.321			2.0				6.0							0.396	0.934	606.0	0.19		84.0			25.0	3.0	0.0		0.538	288.0					36.0	4.0	67.0	172.0	1.0	24.0	5.0	99.0	85.0	8.25	0.98	602.0	7.27													171.5
16130	송지후	54394	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54394.jpg	86.0	2005년 01월 08일	내야수(우투우타)	175.0	74.0	광주수창초-진흥중-광주제일고	5000만원	3000만원	24 키움 6라운드 59순위	24키움	WO	2025.0	20.0	2B	28.0	right	batter	69.0	0.145			1.0				2.0							0.189	0.392	74.0	-0.01		4.0			0.0	1.0	0.0		0.203	14.0					1.0	0.0	2.0	10.0	2.0	1.0	0.0	3.0	16.0	-0.54	0.24	74.0	-0.78													-9.6
16393	스톤	55326	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55326.jpg		1995년 11월 22일	외야수(우투우타)	185.0	103.0	미국 George Ranch(고)-키움		35000달러	25 키움 부상 대체 외국인선수	25키움	WO	2025.0	30.0	RF	22.0	right	batter	87.0	0.241			0.0				2.0							0.28	0.59	93.0	0.065		15.0			0.0	1.0	0.0		0.31	27.0					0.0	0.0	5.0	21.0	0.0	2.0	0.0	4.0	24.0	-0.7	-0.36	93.0	-0.34													60.3
13941	알칸타라	69045	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69045.jpg	54.0	1992년 12월 04일	투수(우투우타)	193.0	100.0	도미니카 Liceo secundario Emma Balaguer(고)-KT-두산		250000달러	19 KT 자유선발	19KT	WO	2025.0	33.0	P	16.0	right	pitcher			0.0	0.0		38.0	3.35	3.53		0.0	0.0	16.0	0.0	102.0	2.0					3.53		3.0	0.0				0.0			413.0	7.0	1.14	2.0														17.0	3.0	9.0	107.0	3.0	10.0	0.0	40.0	78.0	3.2	40.0	3.53	
16328	어준서	55392	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55392.jpg	92.0	2006년 11월 27일	내야수(우투좌타)	183.0	87.0	수유초-자양중-경기고	11000만원	3000만원	25 키움 3라운드 21순위	25키움	WO	2025.0	19.0	SS	107.0	left	batter	296.0	0.233			0.0				10.0							0.292	0.596	325.0	0.072		22.0			1.0	1.0	3.0		0.304	90.0					7.0	1.0	24.0	69.0	1.0	4.0	1.0	42.0	67.0	-1.27	-1.55	322.0	0.29													65.4
12860	오석주	67116	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67116.jpg	31.0	1998년 04월 14일	투수(우투우타)	180.0	74.0	양정초-대천중-제주고-LG	6000만원	3900만원	17 LG 2차 6라운드 52순위	19LG	WO	2025.0	27.0	P	48.0	right	pitcher			0.0	0.0		23.0	3.88	4.8		15.0	48.0	0.0	5.0	53.1	1.0					3.88		1.0	0.0				0.0			231.0	2.0	1.41	3.0														6.0	1.0	26.0	49.0	6.0	3.0	0.0	23.0	36.0	0.78	24.9	4.2	
10557	오선진	78756	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/78756.jpg	60.0	1989년 07월 07일	내야수(우투우타)	178.0	80.0	화곡초-성남중-성남고-한화-상무-한화-삼성-한화-롯데	6000만원	4000만원	08 한화 2차 4라운드 26순위	08한화	WO	2025.0	36.0	SS	95.0	right	batter	143.0	0.238			0.0				2.0							0.308	0.623	163.0	0.085		19.0			0.0	1.0	4.0		0.315	45.0					8.0	0.0	12.0	34.0	3.0	1.0	0.0	15.0	45.0	0.05	-0.12	159.0	0.17													77.1
11161	원종현	76118	https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/76118.jpg	46.0	1987년 07월 31일	투수(우언우타)	182.0	88.0	군산중앙초-군산중-군산상고-LG-경찰-NC	11000만원	50000만원	06 LG 2차 2라운드 11순위	06LG	WO	2025.0	38.0	P	60.0	right	pitcher			0.0	0.0		37.0	6.24	4.26		13.0	60.0	0.0	11.0	53.1	4.0					7.09		2.0	5.0				0.0			242.0	2.0	1.56	6.0														8.0	2.0	17.0	66.0	3.0	5.0	2.0	42.0	39.0	-1.82	44.55	7.52	
